Time,FV
1545,31.6
1546,31.6
1547,31.6
1548,31.6
1549,31.9
1550,31.9
1551,31.9
1552,31.9
1553,31.9
1554,31.9
1555,31.9
1556,31.9
1557,31.9
1558,31.9
1559,31.9
1560,31.9
1561,31.9
1562,31.9
1563,31.9
1564,31.9
1565,31.9
1566,31.9
1567,31.9
1568,31.9
1569,31.9
1570,31.9
1571,31.9
1572,31.9
1573,31.9
1574,31.9
1575,31.9
1576,31.9
1577,31.9
1578,31.9
1579,31.9
1580,31.9
1581,31.9
1582,31.9
1583,31.9
1584,31.9
1585,31.9
1586,31.9
1587,31.9
1588,31.9
1589,31.9
1590,31.9
1591,31.9
1592,31.9
1593,28.3
1594,28.3
1595,28.3
1596,28.3
1597,28.3
1598,28.3
1599,28.3
1600,28.3
1601,28.3
1602,28.3
1603,28.3
1604,28.3
1605,28.3
1606,28.3
1607,28.3
1608,28.3
1609,28.3
1610,28.3
1611,28.3
1612,28.3
1613,28.3
1614,28.3
1615,28.3
1616,28.3
1617,28.3
1618,28.3
1619,28.3
1620,29.7
1621,29.7
1622,29.7
1623,29.7
1624,29.7
1625,29.7
1626,29.7
1627,29.7
1628,29.7
1629,29.7
1630,29.7
1631,29.7
1632,29.7
1633,29.7
1634,29.7
1635,29.7
1636,29.7
1637,29.7
1638,29.7
1639,29.7
1640,29.7
1641,29.7
1642,29.7
1643,29.7
1644,29.7
1645,29.7
1646,29.7
1647,29.7
1648,29.7
1649,29.7
1650,29.7
1651,27.9
1652,27.9
1653,27.9
1654,27.9
1655,27.9
1656,27.9
1657,27.9
1658,27.9
1659,27.9
1660,27.9
1661,27.9
1662,27.9
1663,27.9
1664,27.9
1665,27.9
1666,27.9
1667,27.9
1668,27.9
1669,27.9
1670,27.9
1671,27.9
1672,27.9
1673,27.9
1674,27.9
1675,27.9
1676,27.9
1677,27.9
1678,27.9
1679,27.9
1680,27.9
1681,27.9
1682,26.7
1683,26.7
1684,26.7
1685,26.7
1686,26.7
1687,26.7
1688,26.7
1689,26.7
1690,26.7
1691,26.7
1692,26.7
1693,26.7
1694,26.7
1695,26.7
1696,26.7
1697,26.7
1698,26.7
1699,26.7
1700,26.7
1701,26.7
1702,26.7
1703,26.7
1704,26.7
1705,26.7
1706,26.7
1707,26.7
1708,26.7
1709,26.7
1710,26.7
1711,26.7
1712,26.7
1713,26.7
1714,26.7
1715,26.7
1716,26.7
1717,26.7
1718,26.7
1719,26.7
1720,26.7
1721,26.7
1722,26.7
1723,26.7
1724,26.7
1725,26.7
1726,26.7
1727,26.7
1728,26.7
1729,26.7
1730,26
1731,26
1732,26
1733,26
1734,26
1735,26
1736,26
1737,26
1738,26
1739,26
1740,26
1741,26
1742,26
1743,26
1744,26
1745,26
1746,26
1747,26
1748,26
1749,26
1750,26
1751,26
1752,26
1753,26
1754,26
1755,26
1756,26
1757,26
1758,26
1759,26
1760,26
1761,26
1762,26
1763,26
1764,26
1765,26
1766,30.5
1767,30.5
1768,30.5
1769,30.5
1770,30.5
1771,30.5
1772,30.5
1773,30.5
1774,30.5
1775,30.5
1776,30.5
1777,30.5
1778,30.5
1779,30.5
1780,30.5
1781,30.5
1782,30.5
1783,28.7
1784,28.7
1785,28.7
1786,28.7
1787,28.7
1788,28.7
1789,28.7
1790,28.7
1791,28.7
1792,28.7
1793,28.7
1794,28.7
1795,28.7
1796,28.7
1797,28.7
1798,28.7
1799,28.7
1800,28.7
1801,28.7
1802,28.7
1803,28.7
1804,28.7
1805,28.7
1806,28.7
1807,28.7
1808,28.7
1809,28.7
1810,28.7
1811,28.7
1812,28.7
1813,28.7
1814,28.7
1815,28.7
1816,28.7
1817,28.4
1818,28.4
1819,28.4
1820,28.4
1821,28.4
1822,28.4
1823,28.4
1824,28.1
1825,28.1
1826,28.1
1827,28.1
1828,28.1
1829,28.1
1830,28.1
1831,28.1
1832,28.1
1833,28.1
1834,28.1
1835,28.1
1836,28.1
1837,28.1
1838,28.1
1839,28.1
1840,28.1
1841,28.1
1842,28.1
1843,28.1
1844,28.1
1845,28.1
1846,28.1
1847,28.1
1848,26.3
1849,26.3
1850,26.3
1851,26.3
1852,26.3
1853,26.3
1854,26.3
1855,26.3
1856,26.3
1857,26.3
1858,26.3
1859,26.7
1860,26.7
